x,y,id,x_amount,y_amount,note
0,9,1,15,1,grass_top
18,8,1,9,1,grass_top
27,9,5,37,1,snow_top
67,9,6,4,1,ice_or_pipe_mid
74,9,5,1,1,snow_top
78,9,1,28,1,grass_top
0,10,3,15,2,dirt
18,9,3,9,3,dirt
27,10,4,37,2,snow_sub
67,10,3,4,2,dirt
74,10,4,1,2,snow_sub
78,10,3,28,2,dirt
10,6,2,4,1,cloud
40,4,2,3,1,cloud
62,6,2,1,1,cloud
65,4,2,5,1,cloud
36,7,10,1,1,pipe_mouth
45,7,10,1,1,pipe_mouth
80,7,10,1,1,pipe_mouth
90,7,10,1,1,pipe_mouth
19,6,11,1,1,scenery_grass
23,6,11,1,1,scenery_grass
32,7,11,1,1,scenery_grass
49,7,11,1,1,scenery_grass
53,7,11,1,1,scenery_grass
57,7,11,1,1,scenery_grass
93,7,11,1,1,scenery_grass
101,7,12,1,1,goal_sign
15,10,13,1,1,water
64,10,13,1,1,water
71,10,13,1,1,water_dropped_by_MAP_NUMBER
75,10,13,1,1,water_dropped_by_MAP_NUMBER
